Bus_ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food_Type_1,Food_Type_2,Food_Type_3
248,Rowan Restaurant,2 Haghill Road,Glasgow,G31 3SR,-4.202495,55.858569,3,3,Pub/Bar,,
249,Rumour's,21 Bath Street,Glasgow,G2 1HY,-4.254032,55.863307,2,3,Oriental,,
250,Rustica,16 Grantlea Terrace,Glasgow,G32 9JN,-4.144555,55.846696,3,3,Pizza,,
251,Sapori D'Italia,1102 Cathcart Road,Glasgow,G42 9EG,-4.257464,55.825496,2,4,Italian,,
252,Sapporo Teppanyaki,6 Ingram Street,Glasgow,G1 1EZ,-4.242543,55.859445,3,3,Oriental,Seafood,
253,Sarti,133 Wellington Street,Glasgow,G2 2XD,-4.259517,55.863907,3,3,Italian,,
254,Sarti,121 Bath Street,Glasgow,G2 2SZ,-4.259457,55.863971,3,3,Italian,,
255,Seewoo Restaurant,29 Saracen Street,Glasgow,G22 5HT,-4.25528,55.879308,2,4,Exotic,Oriental,Seafood
256,Shanghai Shuffle,256 Bath Street,Glasgow,G2 4JW,-4.265885,55.86512,3,4,Indian,,
257,Shenaz,17 Granville Street,Glasgow,G3 7EE,-4.274049,55.865077,2,2,Indian,,
258,Shezan Restaurant,1098 Cathcart Road,Glasgow,G42 9XW,-4.258258,55.826524,2,2,Indian,,
259,Shilla,1138 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,2,2,Oriental,,
260,Shimla Pinks,769 Pollokshaws Road,Glasgow,G41 2AX,-4.271722,55.835345,2,2,Indian,,
261,Shish Mahal Restaurant,68 Park Road,Glasgow,G4 9JF,-4.279412,55.87313,4,4,Indian,,
262,Singh's Little India,71 Kilmarnock Road,Glasgow,G41 3YR,-4.282917,55.828531,3,3,Indian,,
263,Singl-End,263 Renfrew Street,Glasgow,G3 6TT,-4.268176,55.866588,2,2,Italian,,
264,Snack Shack,Netherton Road,Glasgow,,-4.330985,55.898888,1,1,Chip Shop,,
265,Soho On Miller Street,86 Miller Street,Glasgow,G1 1DT,-4.250551,55.8592,3,3,Italian,Pizza,
266,Sparkle Horse,16 Dowanhill Street,Glasgow,G11 5QS,-4.300353,55.87123,2,2,Pub/Bar,,
267,Spice Fusion,224 Main Street,Glasgow,G69 6AG,-4.106486,55.851974,3,2,Indian,,
268,Spice Garden,11 Clyde Place,Glasgow,G5 8AA,-4.252818,55.845414,2,2,Indian,,
269,Spice Of Life,61 Kilmarnock Road,Glasgow,G41 3YR,-4.282917,55.828531,2,2,Indian,,
270,Spice Of The City,48 Oswald Street,Glasgow,,-4.25973192,55.85772,2,2,Indian,Fast Food,
271,Springfield Quay Harvester,6 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,3,3,Scottish,,
272,Spuntini,201 Byres Road,Glasgow,G12 8TN,-4.29507,55.874348,3,4,Italian,,
273,Square Yard,29 Stevenson Street,Glasgow,G40 2SS,-4.237649,55.854654,3,3,American,,
274,Steam Punk Cafe,18 Renfield Street,Glasgow,G2 5AA,-4.256092,55.861067,2,3,European,American,Pub/Bar
275,Stereo,28 Renfield Lane,Glasgow,,-4.25662816,55.86155176,2,2,Vegetarian/Vegan,,
276,Sticky Fingers,130 Blochairn Road,Glasgow,G21 2DU,-4.213723,55.869143,3,3,American,,
277,Strata,45 Queen Street,Glasgow,G1 3EF,-4.252808,55.858718,3,3,Pub/Bar,,
278,Stravaigin,30 Gibson Street,Glasgow,G12 8NX,-4.282193,55.872575,5,5,Pub/Bar,Scottish,
279,Sun City,836 Mosspark Drive,Glasgow,,-4.34387598,55.84143677,1,1,Oriental,Fast Food,
280,Sun Hei,526 Kilmarnock Road,Glasgow,G43 2BL,-4.291852,55.8135,1,1,Oriental,Fast Food,
281,Sweet and Spice,2 Inverlochy Crescent,Glasgow,G33 5ES,-4.161188,55.877654,1,1,Indian,Fast Food,
282,T.G.I. Friday,113 Buchanan Street,Glasgow,G1 3HF,-4.254819,55.860066,5,4,American,,
283,Taco Mazama,263 Byres Road,Glasgow,G12 8TL,-4.293342,55.875953,2,2,Exotic,Fast Food,
284,TGI Fridays,50 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982,5,4,American,,
285,Thai Fountain,27 Newton Place,Glasgow,G3 7PY,-4.273338,55.866582,3,3,Oriental,,
286,Thai Lemongrass,24 Renfrew Street,Glasgow,G2 3BW,-4.254791,55.865369,3,3,Oriental,,
287,Thai Orchid,336 Argyle Street,Glasgow,G2 8LY,-4.261711,55.859031,3,3,Oriental,,
288,Thai Siam Restaurant,1191 Argyle Street,Glasgow,G3 8TQ,-4.287011,55.865358,3,3,Oriental,,
289,Thairiffic,303 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326,3,3,Oriental,,
